m1_source,m2_source,chi1,chi2,dL,Lambda1,Lambda2
1.533585009984662628e+00,1.220637534726506823e+00,2.666817981097540508e-02,2.508215103220971104e-02,3.015459718667475997e+01,2.980507079541858957e+02,3.804958362863184220e+02
1.621591490919231271e+00,1.154976982823238130e+00,2.356976722874862956e-02,2.897804151858430696e-02,3.593451848405427995e+01,7.451465387475788305e+01,7.189810255937205739e+02
1.375700415557129297e+00,1.351643206994284530e+00,1.503427445610756169e-02,5.213328934870535732e-03,3.908229232571746081e+01,3.920714676615306189e+02,9.179300399757603657e+01
1.445353104887730389e+00,1.287527976007676767e+00,7.780313237135141023e-03,4.778666640633525559e-02,3.862436229430335288e+01,3.334581173389369724e+01,1.625509740296124335e+02
1.465962790829970386e+00,1.266148519472265477e+00,2.683574463592351689e-02,9.591900765610046273e-03,4.583140696584942475e+01,6.230303976061023832e+02,1.269165226619493069e+03
1.479484332565740967e+00,1.264143322222936128e+00,7.552017509872856454e-04,8.994247779602155754e-03,2.873857053273616913e+01,2.332731175040649418e+02,2.007166513878181036e+02
1.569409059452703925e+00,1.190201954820198305e+00,4.548501153031359046e-02,2.913760181283244280e-02,3.811651295589864219e+01,3.214006879521519977e+02,1.535539252515211047e+03
1.635494090215245278e+00,1.142315363891540869e+00,1.204802925831859745e-02,2.688389091018491411e-02,4.268875135611543215e+01,5.032873462950486498e+01,2.273550355533984089e+02
1.417233001587005603e+00,1.308395037215100976e+00,1.440938185294667571e-02,3.507218765667530214e-02,4.614026140906496920e+01,5.572323930639986145e+01,1.322897257096052499e+03
1.525605890187954561e+00,1.223769883966992156e+00,3.963489923240732724e-03,2.330593839781426591e-02,3.505269144470266696e+01,6.555511142572726158e+01,2.634723498452360104e+02
1.399004238585831894e+00,1.327320333160303178e+00,2.096055407108389154e-02,4.314437133214220343e-02,4.257303105026662138e+01,2.007640932110379310e+02,4.197173980706717202e+02
1.399432763830242843e+00,1.326865185984620332e+00,3.832990387812282599e-04,2.551236811424285530e-03,4.264593058224422606e+01,4.461258259078469735e+01,5.238542648819909573e+02
1.459755336330678110e+00,1.283114744068090118e+00,6.849530129192142602e-03,3.717385163964635839e-03,2.467166048025016067e+01,4.116230881385206999e+02,5.980737875467850699e+02
1.470789831278122461e+00,1.263176174392127482e+00,5.526523448788924625e-03,1.110214520261976201e-02,4.338612791879381092e+01,2.039678245125829505e+02,1.449998064387883119e+02
1.534749755417709194e+00,1.219218869284930618e+00,1.247917433269923361e-02,1.159820546743835223e-02,3.082813268476692059e+01,2.660600801373414015e+01,3.684839604655904282e+02
1.412248743417022778e+00,1.315895804886635601e+00,1.675255842299367554e-02,1.211092425438576280e-02,4.090639392433569554e+01,4.299732625834454893e+02,2.177824316833982010e+01
1.624698424929145846e+00,1.147782978144024302e+00,4.810271636898803133e-02,2.983805427405802901e-02,4.666389966753914109e+01,5.320015654914642482e+02,4.188471450797471221e+02
1.505158017988498464e+00,1.241440732299212701e+00,1.472293707637196969e-02,2.464925247281804510e-02,3.218137957024794105e+01,5.141020519046350046e+01,6.960829410217550048e+02
1.600967533991163316e+00,1.163894948830398679e+00,1.597593989375216406e-02,1.752879104143062472e-02,4.573512156018712460e+01,1.502502970919206007e+02,1.068286954559288517e+02
1.408461627985794440e+00,1.325969166944313216e+00,3.650701635171146875e-02,2.930040821405182488e-02,2.939559337320449117e+01,2.901012286023973985e-01,4.562264325459457268e+02
1.567989421495869395e+00,1.188146769129497349e+00,1.164451079208038593e-02,4.667693819189838722e-02,4.358029834544009162e+01,2.226343441209732816e+02,5.978004497143882645e+02
1.431788661945027519e+00,1.309285607420682007e+00,2.332263079754997789e-02,6.541138633859212674e-03,2.161599230480877054e+01,1.954388327515049184e+02,3.457616364126570829e+02
1.450868018606596310e+00,1.279456780364252255e+00,4.934827683066275034e-02,2.593862514334698346e-02,4.494779044068624074e+01,4.548611417196590878e+01,1.564995552550120465e+03
1.391078509506209038e+00,1.335319465982076625e+00,4.468584068432993744e-02,2.121947850516781031e-03,4.200772271074853137e+01,7.859770501790038679e+02,2.410697244062124298e+02
1.442705581145250049e+00,1.292080357434206794e+00,3.938792917900942048e-02,2.735639734883612770e-02,3.482773462995554326e+01,6.100764021890856839e+02,2.926159796465185536e+02
1.406764969004753896e+00,1.320820380641839931e+00,3.592336336682860898e-02,1.151864505411638595e-02,4.110430180710051218e+01,2.859025036351391122e+02,5.801579808794216433e+02
1.397527240777189483e+00,1.328780400826484964e+00,8.890249686431324350e-03,1.998739664792253262e-02,4.238554653227789970e+01,5.797402015705640679e+02,6.830763891602161664e+01
1.381036289043516607e+00,1.354326015616461376e+00,2.634752031167364797e-02,1.811242891888497838e-02,2.625012675163365827e+01,9.294002734789157785e+02,2.021592233460331158e+02
1.394256557343948044e+00,1.332039925188480023e+00,4.846253549476932376e-02,8.524106259682135214e-03,4.170199060084514286e+01,1.816450437007637220e+01,3.266792575407246204e+02
1.516508642697875109e+00,1.233062227263940214e+00,1.148827993427701220e-02,1.785470164852539718e-02,3.119760997933649094e+01,1.708631898394267807e+02,7.301099445447339065e+01
1.370224058386561694e+00,1.356440096848421373e+00,2.792096925178093325e-02,1.236004014364273929e-02,4.003025956333059554e+01,6.247500315855672852e+02,3.117640555039454853e+02
1.482279349550000180e+00,1.251323400987144341e+00,8.327393276160239416e-03,5.438865308535665959e-03,4.804098596170782542e+01,2.720138263015338680e+02,1.069195522284865547e+03
1.506863128875592261e+00,1.239479494448831653e+00,3.578022479932482097e-02,6.880480175870099316e-03,3.325299384219947996e+01,3.425958215339216650e+01,1.684394933763666415e+02
1.433073362468801015e+00,1.294092576008776918e+00,4.331655693559275516e-02,1.548512586853198654e-02,4.624627638177879163e+01,2.837813017142813123e+02,6.671536441343579327e+02
1.588263768335849591e+00,1.173212176721291522e+00,3.698567969405783945e-02,2.626986656410824211e-02,4.482385789312633051e+01,2.759701436780654404e+01,9.797680358484880117e+02
1.438612444728168516e+00,1.291381490426900092e+00,7.590683227145713675e-03,6.440513815754722593e-03,4.247228937358509171e+01,7.013824444708815236e+02,2.356009878843558738e+02
1.456803503415314172e+00,1.280957669946239719e+00,4.770235005001685624e-02,2.440879759031299931e-02,3.297185701949931058e+01,2.929226378539570987e+02,2.738758098830309251e+01
1.418575932989722510e+00,1.310189081234728325e+00,2.514988029956307866e-02,3.852784805768402071e-02,4.044749044283030770e+01,3.252046281801459315e+01,4.361055799980510415e+02
1.554750437037959232e+00,1.199678938963673058e+00,2.775693312329462550e-02,1.978320743167620230e-02,3.981661010647448506e+01,2.172819086067001138e+00,1.201137022290088680e+03
1.376435589706139107e+00,1.363373058504807167e+00,3.072925440752391490e-02,2.087410877460873712e-02,1.814139482132709702e+01,1.865688243810730000e+02,3.079051352553042875e+01
1.494718752273425988e+00,1.241468669688504445e+00,6.581598484355518502e-03,7.095494446305215808e-03,4.758805882341451365e+01,3.687824237960779215e+02,1.238040848386985573e+02
1.552987449983011636e+00,1.199718876992857064e+00,2.648994886807946522e-02,2.356117122068924347e-02,4.204895054569589519e+01,1.947776648101226442e+02,8.759108881679334502e+01
1.556944179051585886e+00,1.198597271004794962e+00,4.465399812344152120e-02,7.842325801651601688e-03,3.889373072259173370e+01,3.455317022449564206e+02,8.490755293354685307e+01
1.656435439147723399e+00,1.129775692842267087e+00,4.037240674542239699e-02,4.474678151117700287e-02,4.235121186584075303e+01,4.591824785604673025e+02,1.357960966783102094e+03
